from,to,relation,time
Hitzlsperger,VfB,2,2016
Heim,VfB,2,2015
Heim,VfB Reha,2,2009
Heim,Stadion,2,2009
Heim,Arena,2,2011
Heim,Marketing,2,NA
Heim,Beteiligung,2,NA
Heim,FV,2,NA
Roettgermann,VfB,2,2015
Roettgermann,Marketing,2,2006
VfB,VfB Reha,7,NA
VfB,Arena,7,NA
VfB,Marketing,7,NA
VfB,Beteiligung,7,NA
Schraft,VfB,2,2015
Schraft,CM,3,NA
Vogt,VfB,1,NA
Vogt,VfBVerein,2,2019
VfB,VfBVerein,7,NA
Porth,VfB,1,2014
Porth,DM,2,2009
Adrion,VfB,1,2020
Gaiser,VfBVerein,4,2017
Gaiser,VfB,1,2017
Jenner,VfB,1,2014
Jenner,Kaercher,2,2001
Jenner,KStift,2,2001
Kaercher,KStift,7,NA
Ohlicher,VfB,1,2016
Ehre,VfB,7,NA
Reiner,VfB,1,2016
Reiner,DMM,2,2019
DM,DMM,7,NA
Sugg,VfB,1,2017
Sugg,Bosch,5,NA